model,dataset,version,losses/val_loss,val_metrics/accuracy,val_metrics/f1,val_metrics/miou,val_metrics/precision,val_metrics/recall,losses/test_loss,test_metrics/accuracy,test_metrics/f1,test_metrics/miou,test_metrics/precision,test_metrics/recall
unetpp,potsdam,v1,0.20950941741466522,0.8412058353424072,0.8545528650283813,0.738678514957428,0.8737380504608154,0.8412058353424072,0.20946431159973145,0.8062409162521362,0.8157453536987305,0.7183688282966614,0.8338168859481812,0.8062409162521362
unetpp,potsdam,v2,0.5043708682060242,0.8506821393966675,0.8556408286094666,0.7405058741569519,0.8621016144752502,0.8506821393966675,0.491016149520874,0.8155755996704102,0.813196063041687,0.7157886624336243,0.8111791610717773,0.8155755996704102
unet,potsdam,v1,0.2149338722229004,0.8414862155914307,0.8546323776245117,0.7370640635490417,0.8727172613143921,0.8414862155914307,0.22041602432727814,0.799785315990448,0.8105725049972534,0.7123530507087708,0.8292936682701111,0.799785315990448
unet,potsdam,v2,0.4835614860057831,0.8537452220916748,0.8584824204444885,0.7421581745147705,0.8642449378967285,0.8537452220916748,0.4644607901573181,0.8212671279907227,0.819843590259552,0.7210896015167236,0.818611204624176,0.8212671279907227
segnet,potsdam,v1,0.28080442547798157,0.7820743918418884,0.7931599617004395,0.6554043292999268,0.812071681022644,0.7820743918418884,0.2774617075920105,0.7547356486320496,0.7624586224555969,0.6489008069038391,0.7769149541854858,0.7547356486320496
segnet,potsdam,v2,0.4836474359035492,0.8096221685409546,0.8083338737487793,0.6663015484809875,0.809159517288208,0.8096221685409546,0.45266538858413696,0.7713078260421753,0.7616779208183289,0.6467589735984802,0.7594387531280518,0.7713078260421753
segformer,potsdam,v1,0.20983611047267914,0.8471709489822388,0.8568832874298096,0.740156888961792,0.8694120049476624,0.8471709489822388,0.2154688835144043,0.8064548969268799,0.8160752654075623,0.7184602618217468,0.8300984501838684,0.8064548969268799
segformer,potsdam,v2,0.5695834159851074,0.8388006687164307,0.847661018371582,0.7334248423576355,0.8607064485549927,0.8388006687164307,0.5230576992034912,0.8052278757095337,0.8075973987579346,0.7089707255363464,0.8111847043037415,0.8052278757095337
upernet,potsdam,v1,0.2451772540807724,0.8102718591690063,0.8235935568809509,0.6957297921180725,0.8440141081809998,0.8102718591690063,0.24499666690826416,0.775696873664856,0.7877135872840881,0.6811495423316956,0.8082132935523987,0.775696873664856
upernet,potsdam,v2,0.580328643321991,0.8287169933319092,0.8240541219711304,0.6929072737693787,0.8210949897766113,0.8287169933319092,0.5322943925857544,0.8029293417930603,0.7906023859977722,0.6850233674049377,0.7841682434082031,0.8029293417930603
swin,potsdam,v1,0.6245760321617126,0.8398580551147461,0.8448245525360107,0.7206605076789856,0.8505355715751648,0.8398580551147461,0.5741422176361084,0.808219850063324,0.807925820350647,0.7066750526428223,0.8085489869117737,0.808219850063324
